#Tanggal;Value
"2017-12-12 07:00:00";8800.0
"2017-12-13 07:00:00";9100.0
"2017-12-14 07:00:00";9225.0
"2017-12-15 07:00:00";9375.0
"2017-12-18 07:00:00";9300.0
"2017-12-19 07:00:00";9525.0
"2017-12-20 07:00:00";9525.0
"2017-12-21 07:00:00";9850.0
"2017-12-22 07:00:00";9850.0
"2017-12-27 07:00:00";9900.0
"2017-12-28 07:00:00";9925.0
"2017-12-29 07:00:00";9900.0
"2018-01-02 07:00:00";9775.0
"2018-01-03 07:00:00";9425.0
"2018-01-04 07:00:00";9400.0
"2018-01-05 07:00:00";9300.0
"2018-01-08 07:00:00";9300.0
"2018-01-09 07:00:00";9300.0
"2018-01-10 07:00:00";9275.0
"2018-01-11 07:00:00";9275.0
"2018-01-12 07:00:00";9275.0
"2018-01-15 07:00:00";9500.0
"2018-01-16 07:00:00";9600.0
"2018-01-17 07:00:00";9600.0
"2018-01-18 07:00:00";9500.0
"2018-01-19 07:00:00";9425.0
"2018-01-22 07:00:00";9400.0
"2018-01-23 07:00:00";9650.0
"2018-01-24 07:00:00";9725.0
"2018-01-25 07:00:00";9600.0
"2018-01-26 07:00:00";9600.0
"2018-01-29 07:00:00";9500.0
"2018-01-30 07:00:00";9225.0
"2018-01-31 07:00:00";9400.0
"2018-02-01 07:00:00";9325.0
"2018-02-02 07:00:00";9300.0
"2018-02-05 07:00:00";9275.0
"2018-02-06 07:00:00";9075.0
"2018-02-07 07:00:00";9550.0
"2018-02-08 07:00:00";9500.0
"2018-02-09 07:00:00";9425.0
"2018-02-12 07:00:00";9525.0
"2018-02-13 07:00:00";9700.0
"2018-02-14 07:00:00";9700.0
"2018-02-15 07:00:00";9625.0
"2018-02-19 07:00:00";9875.0
"2018-02-20 07:00:00";9925.0
"2018-02-21 07:00:00";10175.0
"2018-02-22 07:00:00";9775.0
"2018-02-23 07:00:00";9850.0
"2018-02-26 07:00:00";9825.0
"2018-02-27 07:00:00";9825.0
"2018-02-28 07:00:00";9725.0
"2018-03-01 07:00:00";9625.0
"2018-03-02 07:00:00";9525.0
"2018-03-05 07:00:00";9550.0
"2018-03-06 07:00:00";9175.0
"2018-03-07 07:00:00";9075.0
"2018-03-08 07:00:00";9350.0
"2018-03-09 07:00:00";9400.0
"2018-03-12 07:00:00";9350.0
"2018-03-13 07:00:00";9250.0
"2018-03-14 07:00:00";9450.0
"2018-03-15 07:00:00";9400.0
"2018-03-16 07:00:00";9525.0
